Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
6.901419595,24.56965761,0.8628290848,0.7374161753,G5V,20.44912649,1
4.334195772,2.19894686,0.5933085829,1.153210471,G2Ib,13.04332365,0
7.87301914,11.75046546,0.6165680727,0.589166259,F5V,17.73649197,1
8.110013744,2.143814954,0.8485082899,1.322106782,K2III,15.59246892,0
8.025192903,4.165622449,0.8992956913,1.141646019,K5III,16.37968048,0
2.899129677,11.1100859,0.7017194541,1.095356587,M0III,14.37038841,0
7.529711413,9.160176427,1.13139315,0.9265188488,G8IV,15.93889928,1
6.083823765,3.92885703,0.8352882065,1.761543722,M2.5IIIa,14.06333374,0
3.000913578,5.713251547,0.757592753,0.113611066,A0V,14.35021026,1
8.706527748,1.816359502,1.409038949,0.2500172681,A0V,14.76310352,1
8.326646852,3.816930467,1.485953334,0.9992342004,G8III,16.99780977,0
6.987046095,25.06972242,0.7459353803,0.7702363368,G8IV/V,18.47211347,1
7.974063757,8.373688699,1.063526908,0.5391508326,F7V,17.80898311,1
5.993336847,1.489340078,0.716888845,1.577866498,K3III,13.78898424,0
6.854945223,4.246212933,0.942802579,1.170711355,K1III,16.01476334,0
5.130839804,6.589508314,0.9088308015,0.9345409707,K0III,15.66714371,0
8.586811108,11.46951533,1.806785929,0.6401527766,F5V: + F,19.61206429,1
8.2751603,1.671368888,1.229259489,1.251212787,K0III,14.03372162,0
7.250198902,2.349593486,0.7984942593,1.470945071,K5III,14.65268979,0
8.219604858,10.24126624,1.141183221,1.018745519,K1III,17.42449759,0
7.034528499,14.86061402,0.8350194587,0.2594522182,F5V:,18.13311949,1
7.946287368,3.241049983,1.03467641,0.4255617553,F3III,16.34019592,0
9.635225168,0.9299940094,1.423024676,0.4560524712,F3/F5V,16.1124234,1
9.605371843,5.178726304,1.34614125,0.6851116881,F7V,18.35266839,1
8.041672264,6.420975855,1.350981178,0.4714529647,G1V,19.37596623,1
8.567774888,6.492787565,1.595006145,0.2149368258,A0V,18.45655427,1
8.268468459,38.92598276,1.117940949,0.7574295881,K0V,21.46847841,1
8.992811846,0.6059197378,1.453871108,0.7483175385,F3V,12.18678599,1
7.77317834,16.13507807,0.9487831193,1.098618703,G8IV,17.84617433,1
7.060707245,3.830068111,0.989120176,1.476426793,K3III,15.94819336,0
8.731640372,0.7477209244,1.385002582,1.019239599,G8III,16.4233139,0
9.415888002,1.630390513,1.557055694,0.1971064258,A1V,14.88369448,1
7.288202026,8.609443617,0.9446689562,0.9697796039,K1IV,18.48851847,1
9.471207259,9.773165938,1.16710069,0.6458427801,G3V,18.95238788,1
7.591519789,-0.1272540086,0.784718181,1.517066236,K3III,9.744715993,0
9.089130513,4.771113226,0.9231928385,0.3536021953,F5V,15.54326286,1
9.132960344,2.861460432,0.9990235293,0.9346627222,G8IV,16.26901573,1
8.962765162,10.65380115,1.15795749,0.5921035182,F5V,19.18102401,1
8.891985057,6.947747005,1.528060079,0.6920937795,F3V,17.26804819,1
9.259746987,-0.502880061,0.9026730286,-0.03200510382,B9.5IV,13.0091758,1
8.568659023,3.992021204,0.8157745561,0.0755164843,B9V,14.99731565,1
1.81301313,13.2872586,0.9234535858,0.9100246793,K0III,15.93598443,0
8.56229428,2.008535281,1.074668337,0.3151269314,A4II,15.63513672,0
9.296416648,3.610564771,1.106770034,1.380955741,M0III,17.14640669,0
3.817515464,1.859353428,0.6827371187,1.658550911,K4III,10.16378618,0
6.520026998,8.58293805,0.9652609138,0.8807920348,K0IIICNIV,17.72043853,1
8.258489056,10.53132699,1.292920376,0.6183274172,G3V,18.47581587,1
9.277940327,3.157503909,1.108830531,0.08392506257,A7IV,15.86973298,1
7.756909021,2.014046262,0.9028836323,1.545166164,K4III,10.42055314,0
8.36914877,3.987349518,0.9208419245,1.156009329,M3/M4III,18.21847377,0
7.162909694,0.87175089,0.6611393962,1.553473536,K4III,12.57585204,0
7.102452196,1.1235368,0.7395466274,1.544936601,G9II,11.77169138,0
4.327863579,2.097034438,0.6169028167,1.13401542,F6Ib,12.10968976,0
8.750395189,6.733381458,1.125005298,0.7539427793,G3V,18.41767597,1
7.723648662,1.650119779,1.183934006,-0.0480690593,B8II/III,14.48617663,0
5.509344512,4.297115207,0.6965329626,-0.1408743444,B8III,14.1487412,0
4.400079567,5.312070213,0.713849567,-0.01092788313,A3V,15.500113,1
6.162003269,2.580500276,0.3697498709,-0.03988224061,B5V,14.67398031,1
2.965663826,15.85123677,0.6695328131,1.068310001,G8IV,17.17421616,1
7.461207272,11.58509753,0.7776588224,0.577546337,F5V,18.2152035,1
8.913195346,1.013238944,1.058922459,1.522685213,K2III,14.4272433,0
8.151664938,0.1894376354,0.8574998132,1.044870878,G8II,12.78037781,0
6.556180125,12.01680434,0.9270671779,0.350089143,A9IV,16.84355096,1
7.882908218,-0.2579687982,1.010084551,0.9731525755,G8III,15.1340705,0
9.935573935,2.335971315,2.230227089,1.045970853,K0III,17.2963018,0
8.034614444,12.63351622,1.285703753,0.328959843,F0V,17.15883256,1
8.514286516,5.935562788,0.9778817544,0.2226099042,A1V,17.46546518,1
8.666220835,1.916569952,1.171042243,1.57575023,M2/M3III,16.04312106,0
9.845467096,11.28025648,1.521637673,0.6409759461,G3V,20.62932353,1
5.476802339,18.67599143,0.7424933846,0.3611080106,A7V,17.33966697,1
8.603985077,2.439198085,0.8127660075,0.05822611774,B2II/III,15.65393788,0
